"TimeStampCount","TimeStampGPSTime","TimeStampSchedulerTime","TimeStampSystemTime","DHW_ClothesWasherColdFlow","DHW_ClothesWasherHotFlow","DHW_DailySolarfractionf","DHW_DailyTotalHotWaterLoad_QL","DHW_DeliveryTempCW","DHW_DeliveryTempDW","DHW_DeliveryTempKitchenSink","DHW_DeliveryTempMBASink","DHW_DeliveryTempShower","DHW_DeliveryTempTub","DHW_DiSHW_asherHotFlow","DHW_DrawVolumeCW","DHW_DrawVolumeDW","DHW_DrawVolumeKitchenSink","DHW_DrawVolumeMBASink","DHW_DrawVolumeShower","DHW_DrawVolumeTub","DHW_GlycolTempSHW_HX80galHXIn","DHW_GlycolTempSHW_HX80galHXOut","DHW_HeatPumpWaterHeaterEnergyTotal","DHW_HeatPumpWaterHeaterPowerTotal","DHW_HeatpumpwaterheaterenergyQAUX","DHW_HotWaterLoad_CW","DHW_HotWaterLoad_DW","DHW_HotWaterLoad_KitchenSink","DHW_HotWaterLoad_MBASink","DHW_HotWaterLoad_s_hower","DHW_HotWaterLoad_Tub","DHW_KitchenScalelb","DHW_MBAScalelb","DHW_MainsTempDHW","DHW_MainsTempDWCW","DHW_ManifoldColdFlow","DHW_ManifoldHotFlow","DHW_MixValveColdFlow","DHW_OverUnderdraw","DHW_RoomTempBasementHPWH","DHW_SHW_PumpsEnergywithStandby","DHW_SHW_PumpsPowerWithStandby","DHW_SolartankenergyQSOLAR","DHW_StatusSolenoidCold11MBATub","DHW_StatusSolenoidCold12MBAShower","DHW_StatusSolenoidCold4KitchenSink","DHW_StatusSolenoidHot3KitchenSink","DHW_StatusSolenoidHot8MBATub","DHW_StatusSolenoidHot9MBAShower","DHW_StatusDrainTankSolenoidKitchen","DHW_StatusDrainTankSolenoidMBA","DHW_TotalHotWaterLoad_","DHW_WaterTempBA2ShowerMixed","DHW_WaterTempBA2SHW_Cold","DHW_WaterTempBA2SHW_Hot","DHW_WaterTempBA2SinkCold","DHW_WaterTempBA2SinkHot","DHW_WaterTempBA2SinkMixed","DHW_WaterTempDiSHW_asher","DHW_WaterTempHPWHIn","DHW_WaterTempHPWHOut","DHW_WaterTempKSinkCold","DHW_WaterTempKSinkHot","DHW_WaterTempKSinkMix","DHW_WaterTempMBASHW_Cold","DHW_WaterTempMBASHW_Hot","DHW_WaterTempMBASHW_Mix","DHW_WaterTempMBASinkRMixed","DHW_WaterTempMBASinkRCold","DHW_WaterTempMBASinkRHot","DHW_WaterTempMBATubCold","DHW_WaterTempMBATubHot","DHW_WaterTempMBATubMix","DHW_WaterTempManifoldColdIn","DHW_WaterTempManifoldHotIn","DHW_WaterTempMixValveColdIn","DHW_WaterTempMixValveHotIn","DHW_WaterTempSHW_HX80galHXIn","DHW_WaterTempSHW_HX80galHXOut","DHW_WaterTempSolarPreheatTank80galIn","DHW_WaterTempSolarPreheatTank80galOut","DHW_WaterTempWasherCold","DHW_WaterTempWasherHot","ElecTotal_DHW_Energy","ElecTotal_DHW_Power"
12,"2015-02-01 05:11:50+00:00","2015-02-01 05:11:40.100031+00:00","2015-02-01 05:11:50.127121+00:00",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.713874609,10.8781400475,1.32,6.92,1.32,0,0,0,0,0,0,-0.603134912013,-7.81307179234,0,0,0,0,0,0,20.19789558,0.56,3.36,0,0,0,0,0,0,0,0,0,0,19.9507001692,20.2403073655,20.2266681357,21.7542779333,24.480123766,24.2989306211,25.1871403171,23.5728690847,47.4154745587,23.426225245,31.202542846,27.7497244303,20.5722188057,20.5243425713,20.0138835868,33.8306007187,-65156.365784,-65131.2692638,20.6777525654,20.7672784561,19.3861425292,20.8364989031,45.8986359399,20.5863517128,22.8627584163,20.3995046114,20.6666007422,17.4044964255,23.0838690132,22.2021157128,22.2616426638,1.88,13.74
13,"2015-02-01 05:12:50+00:00","2015-02-01 05:12:40.100028+00:00","2015-02-01 05:12:50.127085+00:00",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.7524957156,10.8774704068,1.452,6.92,1.452,0,0,0,0,0,0,-0.623135449676,-7.81300694883,0,0,0,0,0,0,20.1985244645,0.616,3.36,0,0,0,0,0,0,0,0,0,0,19.9903028887,20.2519101504,20.3007272281,21.7865284772,24.4472568245,24.2365198328,25.1455966269,23.8738414516,47.3362922199,23.4291678668,31.0605343156,27.6185523892,20.5829708182,20.5652500409,20.041328522,33.5521340494,-65159.3225255,-65142.3770846,20.6934533519,20.8017473101,19.4354340747,20.8354974581,45.7006716169,20.5912712718,22.8548584253,20.3802701826,20.6712775239,17.6159346612,23.0855678006,22.2719253027,22.2925693132,2.068,13.74
14,"2015-02-01 05:13:50+00:00","2015-02-01 05:13:40.100030+00:00","2015-02-01 05:13:50.127144+00:00",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6964993612,10.9137975695,1.584,6.92,1.584,0,0,0,0,0,0,-0.603435184594,-7.90514956712,0,0,0,0,0,0,20.2145376029,0.672,3.36,0,0,0,0,0,0,0,0,0,0,19.9381623661,20.2253492001,20.2431638783,21.7414920923,24.3056720474,24.1468017423,25.0903413134,23.6214100535,47.3382847425,23.4199012584,30.812547529,27.3987694723,20.5666555634,20.5129765591,20.0101175769,33.2545145113,-65156.7407483,-65129.0246853,20.6855454081,20.7540771596,19.3604090519,20.8219284543,45.4277685391,20.6147268849,22.8442998585,20.4161426974,20.6871961137,17.6546593239,23.0808521188,22.2105458703,22.2705844021,2.256,13.74
15,"2015-02-01 05:14:50+00:00","2015-02-01 05:14:40.100029+00:00","2015-02-01 05:14:50.127083+00:00",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.729512231,10.8899657261,1.716,6.92,1.716,0,0,0,0,0,0,-0.610990672631,-7.89769256423,0,0,0,0,0,0,20.2013141504,0.728,3.36,0,0,0,0,0,0,0,0,0,0,19.968765117,20.2202459222,20.2579452405,21.7589837735,24.2611877725,24.0915254044,25.0498696402,23.8531515263,47.0641625395,23.4222900512,30.6501524152,27.2553423733,20.5449807495,20.537325527,19.9955821753,32.933112506,-65154.1981681,-65134.6347731,20.6716227367,20.762327417,19.4006922416,20.8107406969,45.215987794,20.6188460582,22.8083524176,20.3854503943,20.6383583425,17.786064938,23.043748213,22.2306313894,22.2530418859,2.444,13.74
16,"2015-02-01 05:15:50+00:00","2015-02-01 05:15:40.100030+00:00","2015-02-01 05:15:50.127146+00:00",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6994738111,10.8740755518,1.848,6.92,1.848,0,0,0,0,0,0,-0.600858527727,-7.90067536537,0,0,0,0,0,0,20.1767928983,0.784,3.36,0,0,0,0,0,0,0,0,0,0,19.9602687129,20.2062130915,20.2434796142,21.7494275205,24.1981507501,24.0288091101,25.0068190062,23.9828828872,46.8627144967,23.3809217222,30.4673649681,27.104737118,20.5381736253,20.525847512,19.97599336,32.6589529604,-65153.0328184,-65135.5470702,20.6626950651,20.7788758518,19.399172035,20.8305953038,45.0054619946,20.583980981,22.7884797202,20.3949210843,20.6489581526,17.7692063003,23.0171911341,22.2172140451,22.2533607266,2.632,13.74
17,"2015-02-01 05:16:50+00:00","2015-02-01 05:16:40.100033+00:00","2015-02-01 05:16:50.127079+00:00",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.7498154679,10.8877589514,1.98,6.92,1.98,0,0,0,0,0,0,-0.603873419086,-7.9011941134,0,0,0,0,0,0,20.1781764079,0.84,3.36,0,0,0,0,0,0,0,0,0,0,19.9996347724,20.2723463166,20.2834815215,21.8005888402,24.1533706515,23.9939380606,25.0178396694,23.8098784227,46.7138727544,23.4299618402,30.32375281,26.9487672875,20.5927403926,20.5375880096,20.0453333556,32.4629752107,-65165.2631685,-65142.4895479,20.7005256456,20.7997153459,19.4378878991,20.8924390465,44.7998315481,20.6232049505,22.7285795013,20.419466686,20.6942916568,18.0990855671,23.0249679334,22.2596419949,22.3030975058,2.82,13.74
18,"2015-02-01 05:17:50+00:00","2015-02-01 05:17:40.100029+00:00","2015-02-01 05:17:50.127088+00:00",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6847123907,10.913619211,2.112,6.92,2.112,0,0,0,0,0,0,-0.609241792055,-7.8723387544,0,0,0,0,0,0,20.1962531253,0.896,3.36,0,0,0,0,0,0,0,0,0,0,19.9384515369,20.2054794657,20.2457674927,21.7326093178,24.0525572296,23.8791284886,24.9202795185,23.7492614006,46.7523454577,23.3878347117,30.089643777,26.7772053791,20.521147871,20.4886735869,19.9812975573,32.1236690669,-65152.1905828,-65129.2746935,20.6637074539,20.7484705054,19.3763779429,20.851422071,44.5635628527,20.6234293237,22.7313929793,20.3969613278,20.6734889224,18.0416799788,23.0080896753,22.2070238145,22.2362185102,3.008,13.74
19,"2015-02-01 05:18:50+00:00","2015-02-01 05:18:40.100032+00:00","2015-02-01 05:18:50.127139+00:00",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.7360225147,10.9174621882,2.244,6.92,2.244,0,0,0,0,0,0,-0.619223801353,-7.86883720522,0,0,0,0,0,0,20.2138192839,0.952,3.36,0,0,0,0,0,0,0,0,0,0,19.9678654427,20.2647611159,20.2874186164,21.779957368,24.0141769344,23.8724302827,24.8912831329,23.9154165346,46.3739051785,23.4141267333,29.9349050336,26.634748135,20.5510218377,20.4995636691,20.0311487488,31.8877534995,-65161.8778597,-65138.969701,20.7017684539,20.7979379243,19.4454122787,20.8932090771,44.3573443458,20.6389993023,22.7348143108,20.4050554832,20.6916716469,18.0706470583,23.0208067123,22.258998555,22.2968127425,3.196,13.74
20,"2015-02-01 05:19:50+00:00","2015-02-01 05:19:40.100030+00:00","2015-02-01 05:19:50.127090+00:00",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.7597316518,10.8761597649,2.376,6.92,2.376,0,0,0,0,0,0,-0.603118682062,-7.85949974074,0,0,0,0,0,0,20.1766740178,1.008,3.36,0,0,0,0,0,0,0,0,0,0,19.8875359909,20.209611341,20.216641916,21.7133029985,23.8978324226,23.7286113068,24.8224127762,23.8159950105,46.3357646634,23.3579394838,29.7215334868,26.4757329805,20.511684466,20.4579693508,19.9881166866,31.5660398252,-65149.9831735,-65125.577996,20.6294756849,20.737266893,19.3864181751,20.8447483202,44.1079727524,20.621915031,22.6808289273,20.4154450904,20.6345863463,18.0991659779,22.9518876331,22.2210699795,22.2464939155,3.384,13.74
21,"2015-02-01 05:20:50+00:00","2015-02-01 05:20:40.100030+00:00","2015-02-01 05:20:50.127099+00:00",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.7279339392,10.853138569,2.508,6.92,2.508,0,0,0,0,0,0,-0.617681865135,-7.87324656344,0,0,0,0,0,0,20.2210785435,1.064,3.36,0,0,0,0,0,0,0,0,0,0,19.9291219196,20.2009085415,20.2282977493,21.7191660693,23.8724659474,23.6802903243,24.8056597909,23.5775073804,46.107952925,23.3298319708,29.5671399582,26.349154129,20.5161993675,20.4824049026,19.9731436789,31.3515274543,-65149.2226256,-65130.2250299,20.64092653,20.7500832436,19.3776168639,20.8333620774,43.9085855725,20.5905573103,22.6054521557,20.3785680045,20.613463494,18.1070432679,22.9037215432,22.2217598076,22.2447380766,3.572,13.74
22,"2015-02-01 05:21:50+00:00","2015-02-01 05:21:40.100030+00:00","2015-02-01 05:21:50.127086+00:00",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.7217087628,10.8933572703,2.64,6.92,2.64,0,0,0,0,0,0,-0.613283288832,-7.90378785353,0,0,0,0,0,0,20.1933003295,1.12,3.36,0,0,0,0,0,0,0,0,0,0,19.9518508519,20.2394773343,20.2390187613,21.7360488106,23.8420949934,23.6642460577,24.8053288408,23.8097384402,46.2727951822,23.361344538,29.4361866698,26.2359107105,20.5356020058,20.4992053076,19.9982877103,31.1369314276,-65158.064875,-65134.0967413,20.6763578191,20.7515418445,19.3950418093,20.8815286972,43.7165561087,20.5988343583,22.6476038661,20.3902276546,20.6358264015,18.2767751482,22.9292505173,22.2402462746,22.2764266927,3.76,13.74
23,"2015-02-01 05:22:50+00:00","2015-02-01 05:22:40.100029+00:00","2015-02-01 05:22:50.127078+00:00",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.7120602164,10.8946065432,2.772,6.92,2.772,0,0,0,0,0,0,-0.604388750089,-7.91831279828,0,0,0,0,0,0,20.1929281657,1.176,3.36,0,0,0,0,0,0,0,0,0,0,19.925245744,20.2348914059,20.2214847261,21.7187319338,23.7534141682,23.570183475,24.7345761523,23.8212443641,46.1026322772,23.3499885609,29.2631800477,26.0904048676,20.5262945737,20.4504379115,19.9803057272,30.8618025946,-65155.296143,-65130.9112718,20.6665379313,20.7435635093,19.4076923363,20.8677457766,43.5179677408,20.6391143046,22.616898062,20.4026233835,20.6668440477,18.1218912818,22.9170259533,22.2096575844,22.2538040066,3.948,13.74
24,"2015-02-01 05:23:50+00:00","2015-02-01 05:23:40.100030+00:00","2015-02-01 05:23:50.127138+00:00",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.7456658589,10.8817480077,2.904,6.92,2.904,0,0,0,0,0,0,-0.63248445388,-7.90359332303,0,0,0,0,0,0,20.2200200081,1.232,3.36,0,0,0,0,0,0,0,0,0,0,19.9532721436,20.2516152328,20.2430389124,21.758159023,23.7009243802,23.5756210177,24.743754639,23.7966098397,46.2067371975,23.3770588393,29.0993488239,25.9680498409,20.5401401016,20.492508087,20.02159778,30.6759922961,-65163.8380681,-65133.6915469,20.7093886842,20.7676335757,19.4120484837,20.9048863803,43.3049527252,20.653403787,22.5755832808,20.4101041501,20.6659298611,18.4354599553,22.8949189805,22.2229849135,22.3153144542,4.136,13.74
25,"2015-02-01 05:24:50+00:00","2015-02-01 05:24:40.100030+00:00","2015-02-01 05:24:50.127084+00:00",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.7302346917,10.8597525135,3.036,6.92,3.036,0,0,0,0,0,0,-0.597206573088,-7.89198633592,0,0,0,0,0,0,20.1981308172,1.288,3.36,0,0,0,0,0,0,0,0,0,0,19.9280463833,20.2281580004,20.2309977324,21.7228416319,23.6471115263,23.4802426841,24.6920399205,23.9699832561,45.7603544357,23.341798188,28.9363872152,25.8316365607,20.504781274,20.437615496,19.9857961211,30.4132921682,-65156.9721869,-65130.520482,20.6642438062,20.7481576603,19.3983591694,20.8880509001,43.1091882826,20.6126141838,22.5477197753,20.3522498436,20.6366168485,18.3545630473,22.8681442497,22.2171559079,22.2725348537,4.324,13.74
26,"2015-02-01 05:25:50+00:00","2015-02-01 05:25:40.100031+00:00","2015-02-01 05:25:50.127160+00:00",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.7129856561,10.8725137234,3.168,6.92,3.168,0,0,0,0,0,0,-0.625817608243,-7.89671991166,0,0,0,0,0,0,20.2092254338,1.344,3.36,0,0,0,0,0,0,0,0,0,0,19.9419223817,20.2461564965,20.2564717014,21.7232777607,23.6006114982,23.4509198905,24.6439263633,23.8842418477,45.6299086416,23.3205646251,28.8173339499,25.725903827,20.5062097913,20.4613240283,20.0139733431,30.1972785004,-65159.4142767,-65136.4618249,20.7032731631,20.7783113321,19.4160331489,20.8929678674,42.9166875896,20.6331294732,22.5352569764,20.4063643038,20.6328632118,18.6398696923,22.8550960279,22.238952102,22.2628136823,4.512,13.74
27,"2015-02-01 05:26:50+00:00","2015-02-01 05:26:40.100031+00:00","2015-02-01 05:26:50.127080+00:00",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.7198339071,10.8402098214,3.3,6.92,3.3,0,0,0,0,0,0,-0.604392808132,-7.91876670281,0,0,0,0,0,0,20.2103231696,1.4,3.36,0,0,0,0,0,0,0,0,0,0,19.9217259019,20.1984167674,20.2468741427,21.6916601868,23.5163375409,23.3496530796,24.5771258012,23.8734691159,45.4767332529,23.2825647805,28.6772668543,25.5836545881,20.4922721011,20.4357256544,19.978958315,29.9505960574,-65150.3543414,-65130.4083846,20.6461748596,20.7401876502,19.4023280149,20.8872037227,42.7015948802,20.6262241054,22.4892809138,20.3618771587,20.6119155662,18.7211489971,22.8110895791,22.215277484,22.2509089283,4.7,13.74
