"Variable","Subsystem","Measurement_Location","Parameter","Description","Units","max_value","min_value","Aggregation_Method"
"DHW_StatusSolenoidHotKitchenSink","DHW","Kitchen","Status_OnOff","Number to indicate whether hot water is flowing in kitchen sink (1: Yes, O: No) ","Binary Status",1,0,"Average"
"DHW_StatusSolenoidHotMBAShower","DHW","MBath","Status_OnOff","Number to indicate whether hot water is flowing in master bath shower (1: Yes, O: No) ","Binary Status",1,0,"Average"
"DHW_StatusSolenoidHotMBATub","DHW","MBath","Status_OnOff","Number to indicate whether hot water is flowing in master bath tub (1: Yes, O: No) ","Binary Status",1,0,"Average"
"DHW_WaterTempBAShowerMixed","DHW","Bath2","Temp_Water","The instantaneous temperature of the water in the shower faucet of the bathroom located off the hallway on the second floor after the mixing valve","degrees C",46.2732,0,"Average"
"DHW_WaterTempBAShwCold","DHW","Bath2","Temp_Water","The instantaneous temperature of the water in the cold water line at the shower in the bathroom located off the hallway on the second floor","degrees C",35.1149,0,"Average"
"DHW_WaterTempBAShwHot","DHW","Bath2","Temp_Water","The instantaneous temperature of the water in the hot water line at the shower in the bathroom located off the hallway on the second floor","degrees C",53.2196,0,"Average"
"DHW_WaterTempBASinkCold","DHW","Bath2","Temp_Water","The instantaneous temperature of the water in the cold water line at the sink in the bathroom located off the hallway on the second floor","degrees C",27.6453,0,"Average"
"DHW_WaterTempBASinkHot","DHW","Bath2","Temp_Water","The instantaneous temperature of the water in the hot water line at the sink in the bathroom located off the hallway on the second floor","degrees C",48.7026,0,"Average"
"DHW_WaterTempBASinkMixed","DHW","Bath2","Temp_Water","The instantaneous temperature of the water in the sink faucet of the bathroom located off the hallway on the second floor after the mixing valve","degrees C",44.573,0,"Average"
"DHW_WaterTempDishwasher","DHW","Kitchen","Temp_Water","The instantaneous temperature of the water in the hot water line at the dishwasher","degrees C",552.0348,-66398.8174,"Average"
"DHW_WaterTempHPWHIn","DHW","Basement","Temp_Water","The instantaneous temperature of the water on the inlet side of the heat pump water heater","degrees C",60.1596,0,"Average"
"DHW_WaterTempHPWHOut","DHW","Basement","Temp_Water","The instantaneous temperature of the water on the exit side of the heat pump water heater","degrees C",56.5923,0,"Average"
"DHW_WaterTempKSinkCold","DHW","Kitchen","Temp_Water","The instantaneous temperature of the water in the cold water line at the kitchen sink","degrees C",27.7611,0,"Average"
"DHW_WaterTempKSinkHot","DHW","Kitchen","Temp_Water","The instantaneous temperature of the water in the hot water line at the kitchen sink","degrees C",53.9481,0,"Average"
"DHW_WaterTempKSinkMix","DHW","Kitchen","Temp_Water","The instantaneous temperature of the water in the kitchen sink faucet after the mixing valve","degrees C",49.9376,-65589.07,"Average"
"DHW_WaterTempManifoldColdIn","DHW","Basement","Temp_Water","The instantaneous temperature of the water entering the cold side of the plumbing manifold","degrees C",25.6932,0,"Average"
"DHW_WaterTempManifoldHotIn","DHW","Basement","Temp_Water","The instantaneous temperature of the water entering the hot side of the plumbing manifold","degrees C",56.1177,0,"Average"
"DHW_WaterTempMBAShwCold","DHW","MBath","Temp_Water","The instantaneous temperature of the water in the cold water line at the shower in the Master Bathroom ","degrees C",34.9506,0,"Average"
"DHW_WaterTempMBAShwHot","DHW","MBath","Temp_Water","The instantaneous temperature of the water in the hot water line at the shower in the Master Bathroom ","degrees C",53.0826,0,"Average"
"DHW_WaterTempMBAShwMix","DHW","MBath","Temp_Water","The instantaneous temperature of the water in the master bath shower after the mixing valve","degrees C",44.2474,0,"Average"
"DHW_WaterTempMBASinkRCold","DHW","MBath","Temp_Water","The instantaneous temperature of the water in the cold water line at the right sink in the Master Bathroom","degrees C",276.3853,-66849.6315,"Average"
"DHW_WaterTempMBASinkRHot","DHW","MBath","Temp_Water","The instantaneous temperature of the water in the hot water line at the right sink in the Master Bathroom","degrees C",351.2581,-66827.822,"Average"
"DHW_WaterTempMBASinkRMixed","DHW","MBath","Temp_Water","The instantaneous temperature of the water in the master bath sink located on the right after the mixing valve","degrees C",48.1659,0,"Average"
"DHW_WaterTempMBATubCold","DHW","MBath","Temp_Water","The instantaneous temperature of the water in the cold water line at the tub in the Master Bathroom ","degrees C",27.3397,0,"Average"
"DHW_WaterTempMBATubHot","DHW","MBath","Temp_Water","The instantaneous temperature of the water in the hot water line at the tub in the Master Bathroom ","degrees C",53.0288,0,"Average"
"DHW_WaterTempMBATubMix","DHW","MBath","Temp_Water","The instantaneous temperature of the water in the tub faucet after the mixing valve","degrees C",44.4324,0,"Average"
"DHW_WaterTempMixValveColdIn","DHW","Basement","Temp_Water","The instantaneous temperature of the water from the main entering the mixing valve downstream of the solar preheat tank","degrees C",28.9686,0,"Average"
"DHW_WaterTempMixValveHotIn","DHW","Basement","Temp_Water","The instantaneous temperature of the water from the solar preheat tank entering the mixing valve downstream of that tank","degrees C",71.7506,0,"Average"
"DHW_WaterTempSHWHX80galIn","DHW","Basement","Temp_Water","The instantaneous temperature of the potable water on the inlet side of the heat exchanger of the solar water heating system (from the storage tank)","degrees C",73.2896,0,"Average"
"DHW_WaterTempSHWHX80galOut","DHW","Basement","Temp_Water","The instantaneous temperature of the potable water on the exit side of the heat exchanger of the solar water heating system (returning to the storage tank)","degrees C",74.8188,-66230.2092,"Average"
"DHW_WaterTempSHWTank80galIn","DHW","Basement","Temp_Water","The instantaneous temperature of the water entering the 80 gallon solar preheat tank","degrees C",52.4758,0,"Average"
"DHW_WaterTempSHWTank80galOut","DHW","Basement","Temp_Water","The instantaneous temperature of the water leaving the 80 gallon solar preheat tank","degrees C",71.8236,-65299.1141,"Average"
"DHW_WaterTempWasherCold","DHW","Utility","Temp_Water","The instantaneous temperature of the water in the cold water line at the clothes washer","degrees C",26.5823,-65233.5327,"Average"
"DHW_WaterTempWasherHot","DHW","Utility","Temp_Water","The instantaneous temperature of the water in the hot water line at the clothes washer","degrees C",54.4339,-65167.7514,"Average"
"Elec_EnergyChildADownstairs","Elec","Living Room","Energy_Thermal","Cumulative heat energy given off from midnight by emulator of child A in the living room","Wh",1246.5358,0,"Hour value"
"Elec_EnergyChildAUpstairs","Elec","Bedroom2","Energy_Thermal","Cumulative heat energy given off from midnight by emulator of child A in bedroom 2","Wh",1243.7705,0,"Hour value"
"Elec_EnergyChildBDownstairs","Elec","Dining Room","Energy_Thermal","Cumulative heat energy given off from midnight by emulator of child B in the dining room","Wh",1367.1265,0,"Hour value"
"Elec_EnergyChildBUpstairs","Elec","Bedroom3","Energy_Thermal","Cumulative heat energy given off from midnight by emulator of child B in bedroom 3","Wh",1069.2453,0,"Hour value"
"Elec_EnergyClothesWasher","Elec","Utility","Energy_Electrical","Cumulative energy consumption of clothes washer from midnight","Wh",166.6175,0,"Hour value"
"Elec_EnergyDishwasher","Elec","Kitchen","Energy_Electrical","Cumulative energy consumption by dishwasher from midnight","Wh",610.4323,0,"Hour value"
"Elec_EnergyDryer1of2","Elec","Utility","Energy_Electrical","Cumulative energy consumption of one leg of electrical supply to dryer from midnight; note that energy consumption from other leg is needed to get total energy consumption by dryer","Wh",1996.0437,0,"Hour value"
"Elec_EnergyDryer2of2","Elec","Utility","Energy_Electrical","Cumulative energy consumption of one leg of electrical supply to dryer from midnight; note that energy consumption from other leg is needed to get total energy consumption by dryer","Wh",1736.8219,0,"Hour value"
"Elec_EnergyGarbageDisposal","Elec","Kitchen","Energy_Electrical","Cumulative energy consumption by garbage disposal from midnight","Wh",1232.8146,0,"Hour value"
"Elec_EnergyHeatLoadforRefrigerator","Elec","Kitchen","Energy_Thermal","Cumulative heat energy added to compartment of refrigerator to simulate opening and adding warm items","Wh",622.9666,0,"Hour value"
"Elec_EnergyHeatPumpWH1of2","Elec","Basement","Energy_Electrical","Cumulative energy consumption of one leg of electrical supply to heat pump water heater from midnight; note that energy consumption from other leg is needed to get total energy consumption by heat pump water heater","Wh",0,0,"Hour value"
"Elec_EnergyHeatPumpWH2of2","Elec","Basement","Energy_Electrical","Cumulative energy consumption of one leg of electrical supply to heat pump water heater from midnight; note that energy consumption from other leg is needed to get total energy consumption by heat pump water heater","Wh",3761.9573,0,"Hour value"
"Elec_EnergyHRV","Elec","Basement","Energy_Electrical","Cumulative energy consumption of heat recovery ventilator from midnight","Wh",1619.7607,0,"Hour value"
"Elec_EnergyLightingControlPanelRPS1","Elec","Basement","Energy_Electrical","Cumulative energy consumption from midnight by lighting control panel located in basement","Wh",381.0593,0,"Hour value"
"Elec_EnergyLightingControlPanelRPS2","Elec","Basement","Energy_Electrical","Cumulative energy consumption from midnight by lighting control panel located in basement","Wh",265.7686,0,"Hour value"
"Elec_EnergyLights1stFloorA","Elec","Multiple","Energy_Electrical","Cumulative energy consumption by a subset of lighting on first floor from midnight; includes living room, hallway, and bedroom 4.  ","Wh",1177.332,0,"Hour value"
"Elec_EnergyLights1stFloorB","Elec","Multiple","Energy_Electrical","Cumulative energy consumption by a subset of lighting on first floor from midnight; includes hallway, bathroom, kitchen, and dining room","Wh",2935.9792,0,"Hour value"
"Elec_EnergyLights2ndFloor","Elec","Bath2","Energy_Electrical","Cumulative energy consumption of lighting in bathroom 2 from midnight","Wh",2253.4097,0,"Hour value"
"Elec_EnergyLightsAttic","Elec","Attic","Energy_Electrical","Cumulative energy consumption from midnight by lights activated in attic","Wh",19.3435,0,"Hour value"
"Elec_EnergyLightsBasement","Elec","Basement","Energy_Electrical","Cumulative energy consumption from midnight by lights activated in basement","Wh",10737.4927,0,"Hour value"
"Elec_EnergyLightsBasementStair","Elec","Basement","Energy_Electrical","Cumulative energy consumption of lights over basement stairs from midnight","Wh",554.0478,0,"Hour value"
"Elec_EnergyMakeUpAirDamper","Elec","Attic","Energy_Electrical","Cumulative energy consumption of make-up air damper located in attic from midnight","Wh",22.1912,0,"Hour value"
"Elec_EnergyMicrowave","Elec","Kitchen","Energy_Electrical","Cumulative energy consumption by microwave oven from midnight","Wh",524.2498,0,"Hour value"
"Elec_EnergyParentADownstairs","Elec","Kitchen","Energy_Thermal","Cumulative heat energy given off from midnight by emulator of parent A in the kitchen","Wh",1756.5477,0,"Hour value"
"Elec_EnergyParentAUpstairs","Elec","Master Bedroom","Energy_Thermal","Cumulative heat energy given off from midnight by emulator of parent A in the master bedroom ","Wh",1882.6422,0,"Hour value"
"Elec_EnergyParentBDownstairs","Elec","Dining Room","Energy_Thermal","Cumulative heat energy given off from midnight by emulator of parent B in dining room ","Wh",1774.5815,0,"Hour value"
"Elec_EnergyParentBUpstairs","Elec","Master Bedroom","Energy_Thermal","Cumulative heat energy given off from midnight by emulator of parent B in master bedroom ","Wh",2090.2524,0,"Hour value"
"Elec_EnergyPlugs2ndFloor","Elec","Bath2","Energy_Electrical","Cumulative energy consumption from receptacles in bathroom 2 from midnight","Wh",1977.1038,0,"Hour value"
"Elec_EnergyPlugsAttic","Elec","Attic","Energy_Electrical","Cumulative energy consumption from receptacles in attic from midnight","Wh",240.2388,0,"Hour value"
"Elec_EnergyPlugsBA1","Elec","Bath1","Energy_Electrical","Cumulative energy consumption at receptacles of bathroom 1 from midnight","Wh",0,0,"Hour value"
"Elec_EnergyPlugsBA2North","Elec","Bath2","Energy_Electrical","Cumulative energy consumption from receptacles on north side of bathroom 2 from midnight","Wh",0,0,"Hour value"
"Elec_EnergyPlugsBA2South","Elec","Bath2","Energy_Electrical","Cumulative energy consumption from receptacles on south side of bathroom 2 from midnight","Wh",0,0,"Hour value"
"Elec_EnergyPlugsBaseAHeliodyneHXs","Elec","Basement","Energy_Electrical","Cumulative energy used by solar water heater pumps from midnight","Wh",1556.7264,0,"Hour value"
"Elec_EnergyPlugsBaseB","Elec","Basement","Energy_Electrical","Cumulative energy consumption at receptacle B in basement from midnight","Wh",2541.8297,0,"Hour value"
"Elec_EnergyPlugsBaseC","Elec","Basement","Energy_Electrical","Cumulative energy consumption at receptacle C in basement from midnight","Wh",45.5642,0,"Hour value"
"Elec_EnergyPlugsBR2","Elec","Bedroom2","Energy_Electrical","Cumulative energy consumption from receptacles in bedroom 2 from midnight","Wh",1106.3591,0,"Hour value"
"Elec_EnergyPlugsBR3","Elec","Bedroom3","Energy_Electrical","Cumulative energy consumption from receptacles in bedroom 3 from midnight","Wh",104.1851,0,"Hour value"
"Elec_EnergyPlugsBR4","Elec","Bedroom4","Energy_Electrical","Cumulative energy consumption at receptacles of bedroom 4 from midnight","Wh",1904.5027,0,"Hour value"
"Elec_EnergyPlugsDR","Elec","Dining Room","Energy_Electrical","Cumulative energy consumption at receptacles of dining room from midnight","Wh",169.7328,0,"Hour value"
"Elec_EnergyPlugsDRB","Elec","Dining Room","Energy_Electrical","Cumulative energy consumption from receptacles in dining room from midnight","Wh",3346.9415,0,"Hour value"
"Elec_EnergyPlugsEntryHall","Elec","Entry Hallway","Energy_Electrical","Cumulative energy consumption at receptacles in entry hallway from midnight","Wh",2016.7614,0,"Hour value"
"Elec_EnergyPlugsGSHPInstrumentation","Elec","Basement","Energy_Electrical","Cumulative energy consumption from midnight by instrumentation connected to ground source heat pump test apparatus","Wh",259.9503,0,"Hour value"
"Elec_EnergyPlugsHVACInstrumentation","Elec","Basement","Energy_Electrical","Cumulative energy consumption from midnight by instrumentation connected to heat pump ","Wh",2197.1263,0,"Hour value"
"Elec_EnergyPlugsInstBA1","Elec","Bath1","Energy_Electrical","Cumulative energy consumption from midnight by instrumentation plugged into receptacles in bathroom 1","Wh",0,0,"Hour value"
"Elec_EnergyPlugsInstBA2","Elec","Bath2","Energy_Electrical","Cumulative energy consumption from midnight by instrumentation plugged into receptacles in bathroom 2","Wh",0,0,"Hour value"
"Elec_EnergyPlugsInstBR2Hall","Elec","Bedroom 2","Energy_Electrical","Cumulative energy consumption from midnight by instrumentation plugged into receptacles in bedroom 2","Wh",1.5998,0,"Hour value"
"Elec_EnergyPlugsInstBR3","Elec","Bedroom3","Energy_Electrical","Cumulative energy consumption from midnight by instrumentation plugged into receptacles in bedroom 3","Wh",1565.3105,0,"Hour value"
"Elec_EnergyPlugsInstBR4A","Elec","Bedroom4","Energy_Electrical","Cumulative energy consumption from midnight by instrumentation plugged into receptacles in bedroom 4","Wh",0,0,"Hour value"
"Elec_EnergyPlugsInstBR4B","Elec","Bedroom4","Energy_Electrical","Cumulative energy consumption from midnight by instrumentation plugged into receptacles in bedroom 4","Wh",0,0,"Hour value"
"Elec_EnergyPlugsInstDRA","Elec","Dining Room","Energy_Electrical","Cumulative energy consumption from midnight by instrumentation plugged into receptacles in dining room","Wh",11137.73,0,"Hour value"
"Elec_EnergyPlugsInstHall","Elec","Entry Hallway","Energy_Electrical","Cumulative energy consumption from midnight by instrumentation plugged into receptacles in entry hallway","Wh",167.3019,0,"Hour value"
"Elec_EnergyPlugsInstKitA","Elec","Kitchen","Energy_Electrical","Cumulative energy consumption from midnight by instrumentation plugged into receptacles in kitchen","Wh",37.8075,0,"Hour value"
"Elec_EnergyPlugsInstKitD","Elec","Kitchen","Energy_Electrical","Cumulative energy consumption from midnight by instrumentation located in kitchen","Wh",1209.5706,0,"Hour value"
"Elec_EnergyPlugsInstLRA","Elec","Living Room","Energy_Electrical","Cumulative energy consumption from midnight by instrumentation plugged into receptacles in living room","Wh",11379.6392,0,"Hour value"
"Elec_EnergyPlugsInstLRB","Elec","Living Room","Energy_Electrical","Cumulative energy consumption from midnight by instrumentation plugged into receptacles in living room","Wh",0,0,"Hour value"
"Elec_EnergyPlugsInstMBAB","Elec","MBath","Energy_Electrical","Cumulative energy consumption from midnight by instrumentation plugged into receptacles in master bathroom","Wh",0,0,"Hour value"
"Elec_EnergyPlugsInstMBRA","Elec","Master Bedroom","Energy_Electrical","Cumulative energy consumption from midnight by instrumentation plugged into receptacles in the master bedroom","Wh",2.0218,0,"Hour value"
"Elec_EnergyPlugsInstMudroomA","Elec","Mudroom","Energy_Electrical","Cumulative energy consumption from midnight by instrumentation plugged into receptacles in mudroom","Wh",0,0,"Hour value"
"Elec_EnergyPlugsInstMudroomB","Elec","Mudroom","Energy_Electrical","Cumulative energy consumption from midnight by instrumentation plugged into receptacles in mudroom","Wh",0,0,"Hour value"
"Elec_EnergyPlugsKitPeninsula","Elec","Kitchen","Energy_Electrical","Cumulative energy consumption by hand mixer and can opener from midnight","Wh",24.1197,0,"Hour value"
"Elec_EnergyPlugsKitRange","Elec","Kitchen","Energy_Electrical","Cumulative energy consumption by blender from midnight","Wh",188.7717,0,"Hour value"
"Elec_EnergyPlugsKitSink","Elec","Kitchen","Energy_Electrical","Cumulative energy consumption by toaster from midnight","Wh",283.24,0,"Hour value"
"Elec_EnergyPlugsLR","Elec","Living Room","Energy_Electrical","Cumulative energy consumption at receptacles of living room from midnight","Wh",537.5547,0,"Hour value"
"Elec_EnergyPlugsMBAEast","Elec","MBath","Energy_Electrical","Cumulative energy consumption from receptacles on east side of master bathroom from midnight","Wh",119.3789,0,"Hour value"
"Elec_EnergyPlugsMBAWest","Elec","MBath","Energy_Electrical","Cumulative energy consumption from receptacles on west side of master bathroom from midnight","Wh",402.2112,0,"Hour value"
"Elec_EnergyPlugsMBR","Elec","MBedroom","Energy_Electrical","Cumulative energy consumption from receptacles in master bedroom from midnight","Wh",681.9544,0,"Hour value"
"Elec_EnergyPV1of2","Elec","Basement","Energy_Electrical","Cumulative energy fed into breaker panel by one leg of electrical supply from PV inverters from midnight; note that energy supplied from other leg is needed to get total energy supply from inverters","Wh",36898.7031,0,"Hour value"
"Elec_EnergyPV2of2","Elec","Basement","Energy_Electrical","Cumulative energy fed into breaker panel by one leg of electrical supply from PV inverters from midnight; note that energy supplied from other leg is needed to get total energy supply from inverters","Wh",36764,0,"Hour value"
"Elec_EnergyRefrigerator","Elec","Kitchen","Energy_Electrical","Cumulative energy consumption by refrigerator from midnight","Wh",1849.1306,0,"Hour value"
"Elec_EnergySpare1","Elec","Basement","Energy_Electrical","Cumulative energy consumption of standby electrical load in basement from midnight","Wh",447.7924,0,"Hour value"
"Elec_EnergySpare2","Elec","Basement","Energy_Electrical","Cumulative energy consumption by computer network hardware in basement from midnight","Wh",777.8372,0,"Hour value"
"Elec_EnergySumpPump","Elec","Basement","Energy_Electrical","Cumulative energy consumption of sump pump in basement from midnight","Wh",355.0841,0,"Hour value"
"Elec_PowerChildADownstairs","Elec","Living Room","Power_Thermal","Instantaneous power consumption by emulator of child A in the living room","W",77.819,0,"Average"
"Elec_PowerChildAUpstairs","Elec","Bedroom2","Power_Thermal","Instantaneous power consumption by emulator of child A in bedroom 2","W",79.1408,0,"Average"
"Elec_PowerChildBDownstairs","Elec","Dining Room","Power_Thermal","Instantaneous power consumption by emulator of child B in the dining room","W",80.2386,0,"Average"
"Elec_PowerChildBUpstairs","Elec","Bedroom3","Power_Thermal","Instantaneous power consumption by emulator of child B in bedroom 3","W",85.9426,0,"Average"
"Elec_PowerClothesWasher","Elec","Utility","Power_Electrical","Instantaneous power used by clothes washer ","W",502.9196,0,"Average"
"Elec_PowerDishwasher","Elec","Kitchen","Power_Electrical","Instantaneous power consumption by dishwasher ","W",1186.8506,0,"Average"
"Elec_PowerDryer1of2","Elec","Utility","Power_Electrical","Instantaneous power used by one leg of electrical supply to dryer; note that power from other leg is needed to get total power consumption by dryer","W",2869.225,0,"Average"
"Elec_PowerDryer2of2","Elec","Utility","Power_Electrical","Instantaneous power consumption of one leg of electrical supply to dryer; note that power from other leg is needed to get total power consumption by dryer","W",2646.0981,0,"Average"
"Elec_PowerGarbageDisposal","Elec","Kitchen","Power_Electrical","Instantaneous power consumption by garbage disposal ","W",1745.1833,0,"Average"
"Elec_PowerHeatLoadforRefrigerator","Elec","Kitchen","Power_Thermal","Instantaneous power of heat load in refrigerator to simulate opening and adding warm items","W",15.6807,0,"Average"
"Elec_PowerHeatPumpWH1of2","Elec","Basement","Power_Electrical","Instantaneous power consumption of one leg of electrical supply to heat pump water heater; note that power from other leg is needed to get total power consumption by heat pump water heater","W",0,0,"Average"
"Elec_PowerHeatPumpWH2of2","Elec","Basement","Power_Electrical","Instantaneous power consumption of one leg of electrical supply to heat pump water heater; note that power from other leg is needed to get total power consumption by heat pump water heater","W",2076.6113,0,"Average"
"Elec_PowerHRV","Elec","Basement","Power_Electrical","Instantaneous power consumption of heat recovery ventilator ","W",81.6014,0,"Average"
"Elec_PowerLightingControlPanelRPS1","Elec","Basement","Power_Electrical","Instantaneous power consumption by lighting control panel located in basement","W",11.1685,0,"Average"
"Elec_PowerLightingControlPanelRPS2","Elec","Basement","Power_Electrical","Instantaneous power consumption by lighting control panel located in basement","W",8.4136,0,"Average"
"Elec_PowerLights1stFloorA","Elec","Multiple","Power_Electrical","Instantaneous power consumption by a subset of lighting on first floor from midnight; includes living room, hallway, and bedroom 4.  ","W",56.5015,0,"Average"
"Elec_PowerLights1stFloorB","Elec","Multiple","Power_Electrical","Instantaneous power consumption by a subset of lighting on first floor from midnight; includes hallway, bathroom, kitchen, and dining room","W",150.5404,0,"Average"
"Elec_PowerLights2ndFloor","Elec","Bath2","Power_Electrical","Instantaneous power consumption of lighting in bathroom 2 ","W",128.4049,0,"Average"
"Elec_PowerLightsAttic","Elec","Attic","Power_Electrical","Instantaneous power consumption by lights activated in attic","W",57.6004,0,"Average"
"Elec_PowerLightsBasement","Elec","Basement","Power_Electrical","Instantaneous power consumption by lights activated in basement","W",550.4377,0,"Average"
"Elec_PowerLightsBasementStair","Elec","Basement","Power_Electrical","Instantaneous power used by lights over basement stairs","W",26.1457,0,"Average"
"Elec_PowerMakeUpAirDamper","Elec","Attic","Power_Electrical","Instantaneous power consumption of make-up air damper located in attic ","W",12.1584,0,"Average"
"Elec_PowerMicrowave","Elec","Kitchen","Power_Electrical","Instantaneous power consumption by microwave oven ","W",1386.0168,0,"Average"
"Elec_PowerParentADownstairs","Elec","Kitchen","Power_Thermal","Instantaneous power consumption by emulator of parent A in the kitchen","W",76.412,0,"Average"
"Elec_PowerParentAUpstairs","Elec","Master Bedroom","Power_Thermal","Instantaneous power consumption by emulator of parent A in the master bedroom ","W",80.8116,0,"Average"
"Elec_PowerParentBDownstairs","Elec","Dining Room","Power_Thermal","Instantaneous power consumption by emulator of parent B in dining room ","W",81.6832,0,"Average"
"Elec_PowerParentBUpstairs","Elec","Master Bedroom","Power_Thermal","Instantaneous power consumption by emulator of parent B in master bedroom ","W",78.8005,0,"Average"
"Elec_PowerPlugs2ndFloor","Elec","Bath2","Power_Electrical","Instantaneous power consumption from receptacles in bathroom 2 ","W",49.6136,0,"Average"
"Elec_PowerPlugsAttic","Elec","Attic","Power_Electrical","Instantaneous power consumption from receptacles in attic ","W",6.3271,0,"Average"
"Elec_PowerPlugsBA1","Elec","Bath1","Power_Electrical","Instantaneous power used by receptacles of bathroom 1","W",0,0,"Average"
"Elec_PowerPlugsBA2North","Elec","Bath2","Power_Electrical","Instantaneous power consumption from receptacles on north side of bathroom 2 ","W",0,0,"Average"
"Elec_PowerPlugsBA2South","Elec","Bath2","Power_Electrical","Instantaneous power consumption from receptacles on south side of bathroom 2 ","W",0,0,"Average"
"Elec_PowerPlugsBaseAHeliodyneHXs","Elec","Basement","Power_Electrical","Instantaneous power used by solar water heater pumps","W",1464.6141,0,"Average"
"Elec_PowerPlugsBaseB","Elec","Basement","Power_Electrical","Instantaneous power used at receptacle B in basement ","W",214.2089,0,"Average"
"Elec_PowerPlugsBaseC","Elec","Basement","Power_Electrical","Instantaneous power used at receptacle C in basement ","W",70.9876,0,"Average"
"Elec_PowerPlugsBR2","Elec","Bedroom2","Power_Electrical","Instantaneous power consumption from receptacles in bedroom 2 ","W",59.3171,0,"Average"
"Elec_PowerPlugsBR3","Elec","Bedroom3","Power_Electrical","Instantaneous power consumption from receptacles in bedroom 3 ","W",35.3892,0,"Average"
"Elec_PowerPlugsBR4","Elec","Bedroom4","Power_Electrical","Instantaneous power used at receptacles of bedroom 4 ","W",708.8477,0,"Average"
"Elec_PowerPlugsDR","Elec","Dining Room","Power_Electrical","Instantaneous power used at receptacles of dining room ","W",634.4638,0,"Average"
"Elec_PowerPlugsDRB","Elec","Dining Room","Power_Electrical","Instantaneous power consumption from receptacles in dining room ","W",171.9279,0,"Average"
"Elec_PowerPlugsEntryHall","Elec","Entry Hallway","Power_Electrical","Instantaneous power used at receptacles in entry hallway ","W",754.4905,0,"Average"
"Elec_PowerPlugsGSHPInstrumentation","Elec","Basement","Power_Electrical","Instantaneous power consumption by instrumentation connected to ground source heat pump test apparatus","W",1501.4069,0,"Average"
"Elec_PowerPlugsHVACInstrumentation","Elec","Basement","Power_Electrical","Instantaneous power consumption by instrumentation connected to heat pump ","W",1045.8735,0,"Average"
"Elec_PowerPlugsInstBA1","Elec","Bath1","Power_Electrical","Instantaneous power consumption by instrumentation plugged into receptacles in bathroom 1","W",0,0,"Average"
"Elec_PowerPlugsInstBA2","Elec","Bath2","Power_Electrical","Instantaneous power consumption by instrumentation plugged into receptacles in bathroom 2","W",0,0,"Average"
